date,company,price
2012-05-18,FB,38.22999954223633
2012-05-21,FB,34.029998779296875
2012-05-22,FB,31.0
2012-05-23,FB,32.0
2012-05-24,FB,33.029998779296875
2012-05-25,FB,31.90999984741211
2012-05-29,FB,28.84000015258789
2012-05-30,FB,28.190000534057617
2012-05-31,FB,29.600000381469727
2012-06-01,FB,27.71999931335449
2012-06-04,FB,26.899999618530277
2012-06-05,FB,25.8700008392334
2012-06-06,FB,26.809999465942383
2012-06-07,FB,26.309999465942383
2012-06-08,FB,27.100000381469727
2012-06-11,FB,27.01000022888184
2012-06-12,FB,27.399999618530277
2012-06-13,FB,27.270000457763672
2012-06-14,FB,28.290000915527344
2012-06-15,FB,30.01000022888184
2012-06-18,FB,31.40999984741211
2012-06-19,FB,31.90999984741211
2012-06-20,FB,31.600000381469727
2012-06-21,FB,31.84000015258789
2012-06-22,FB,33.04999923706055
2012-06-25,FB,32.060001373291016
2012-06-26,FB,33.099998474121094
2012-06-27,FB,32.22999954223633
2012-06-28,FB,31.36000061035156
2012-06-29,FB,31.100000381469727
2012-07-02,FB,30.770000457763672
2012-07-03,FB,31.200000762939453
2012-07-05,FB,31.46999931335449
2012-07-06,FB,31.729999542236328
2012-07-09,FB,32.16999816894531
2012-07-10,FB,31.46999931335449
2012-07-11,FB,30.96999931335449
2012-07-12,FB,30.809999465942383
2012-07-13,FB,30.71999931335449
2012-07-16,FB,28.25
2012-07-17,FB,28.09000015258789
2012-07-18,FB,29.11000061035156
2012-07-19,FB,29.0
2012-07-20,FB,28.76000022888184
2012-07-23,FB,28.75
2012-07-24,FB,28.450000762939453
2012-07-25,FB,29.34000015258789
2012-07-26,FB,26.850000381469727
2012-07-27,FB,23.709999084472656
2012-07-30,FB,23.149999618530277
2012-07-31,FB,21.709999084472656
2012-08-01,FB,20.8799991607666
2012-08-02,FB,20.040000915527344
2012-08-03,FB,21.09000015258789
2012-08-06,FB,21.920000076293945
2012-08-07,FB,20.71999931335449
2012-08-08,FB,20.71999931335449
2012-08-09,FB,21.01000022888184
2012-08-10,FB,21.809999465942383
2012-08-13,FB,21.600000381469727
2012-08-14,FB,20.3799991607666
2012-08-15,FB,21.200000762939453
2012-08-16,FB,19.8700008392334
2012-08-17,FB,19.049999237060547
2012-08-20,FB,20.01000022888184
2012-08-21,FB,19.15999984741211
2012-08-22,FB,19.440000534057617
2012-08-23,FB,19.440000534057617
2012-08-24,FB,19.40999984741211
2012-08-27,FB,19.149999618530277
2012-08-28,FB,19.34000015258789
2012-08-29,FB,19.100000381469727
2012-08-30,FB,19.09000015258789
2012-08-31,FB,18.059999465942383
2012-09-04,FB,17.729999542236328
2012-09-05,FB,18.57999992370605
2012-09-06,FB,18.959999084472656
2012-09-07,FB,18.979999542236328
2012-09-10,FB,18.809999465942383
2012-09-11,FB,19.43000030517578
2012-09-12,FB,20.93000030517578
2012-09-13,FB,20.709999084472656
2012-09-14,FB,22.0
2012-09-17,FB,21.520000457763672
2012-09-18,FB,21.8700008392334
2012-09-19,FB,23.290000915527344
2012-09-20,FB,22.59000015258789
2012-09-21,FB,22.86000061035156
2012-09-24,FB,20.790000915527344
2012-09-25,FB,20.280000686645508
2012-09-26,FB,20.6200008392334
